DA_CC,DA_EC,DA_LMP,DA_MLC,DEMAND,Date,Day,DayOfYear,DewPnt,DryBulb,Hour,Month,RT_CC,RT_EC,RT_LMP,RT_MLC,WeekDay,Year
0,47.7,47.99,0.29,,1/6/2011,6,6,8,21,23,1,0,54.44,54.99,0.55,3,2011
0,44.32,44.69,0.37,,1/6/2011,6,6,8,21,24,1,0,64.19,64.87,0.68,3,2011
0,43.58,44.01,0.43,,1/7/2011,7,7,8,21,1,1,0,49.48,50.11,0.63,4,2011
0,40.16,40.64,0.48,,1/7/2011,7,7,9,21,2,1,0,46.69,47.3,0.61,4,2011
0,38.91,39.44,0.53,,1/7/2011,7,7,8,21,3,1,0,43.4,43.93,0.53,4,2011
0,37.96,38.39,0.43,,1/7/2011,7,7,7,21,4,1,0,45.29,45.91,0.62,4,2011
0,39.07,39.57,0.5,,1/7/2011,7,7,7,20,5,1,0,57.16,57.94,0.78,4,2011
0,43.69,44.03,0.34,,1/7/2011,7,7,7,19,6,1,0,48.67,49.19,0.52,4,2011
0,50.47,51.01,0.54,,1/7/2011,7,7,7,19,7,1,0,80.3,81.3,1,4,2011
0,52.66,53.33,0.67,,1/7/2011,7,7,8,18,8,1,0,109.91,111.01,1.1,4,2011
0,58.04,58.8,0.76,,1/7/2011,7,7,10,18,9,1,0,71.43,72.13,0.7,4,2011
0,54.32,54.94,0.62,,1/7/2011,7,7,12,20,10,1,0,121.54,122.67,1.13,4,2011
0,54.34,54.97,0.63,,1/7/2011,7,7,14,22,11,1,0,117.12,118.11,0.99,4,2011
0,53.05,53.65,0.6,,1/7/2011,7,7,15,24,12,1,0,65.89,66.6,0.71,4,2011
0,50.86,51.4,0.54,,1/7/2011,7,7,15,24,13,1,0,94.24,95.57,1.33,4,2011
0,48.79,49.32,0.53,,1/7/2011,7,7,16,25,14,1,0,69.77,70.7,0.93,4,2011
0,48.14,48.65,0.51,,1/7/2011,7,7,19,27,15,1,-0.69,52.74,52.6,0.55,4,2011
0,48.63,49.17,0.54,,1/7/2011,7,7,19,27,16,1,-0.64,53.89,53.77,0.52,4,2011
0,55.06,55.76,0.7,,1/7/2011,7,7,20,27,17,1,-1.12,67.26,66.8,0.66,4,2011
0.28,76.48,77.5,0.74,,1/7/2011,7,7,21,26,18,1,-1.53,72.26,71.28,0.55,4,2011
0,69.61,70.36,0.75,,1/7/2011,7,7,22,25,19,1,-1.54,70.48,69.41,0.47,4,2011
0.21,53.69,54.52,0.62,,1/7/2011,7,7,22,25,20,1,-0.72,56.21,56.06,0.57,4,2011
0.22,48.54,49.32,0.56,,1/7/2011,7,7,22,24,21,1,0,45.66,46.14,0.48,4,2011
0,49.81,50.32,0.51,,1/7/2011,7,7,22,24,22,1,0,53.88,54.52,0.64,4,2011
0,48.27,48.74,0.47,,1/7/2011,7,7,21,23,23,1,0,50.75,51.4,0.65,4,2011
0,43.94,44.27,0.33,,1/7/2011,7,7,19,23,24,1,0,44.68,45.34,0.66,4,2011
0,51.09,51.77,0.68,,1/8/2011,8,8,18,23,1,1,0,51.89,52.75,0.86,5,2011
0,51.69,52.54,0.85,,1/8/2011,8,8,17,22,2,1,0,48.11,48.91,0.8,5,2011
0,49.24,50.06,0.82,,1/8/2011,8,8,17,22,3,1,0,44.86,45.62,0.76,5,2011
0,47.96,48.8,0.84,,1/8/2011,8,8,17,22,4,1,0,43.94,44.68,0.74,5,2011
0,48.16,49.01,0.85,,1/8/2011,8,8,19,21,5,1,0,44.31,45.04,0.73,5,2011
0,45.95,46.74,0.79,,1/8/2011,8,8,19,20,6,1,0,48.62,49.41,0.79,5,2011
0,52,52.59,0.59,,1/8/2011,8,8,18,20,7,1,0,45.05,45.57,0.52,5,2011
0,52.67,53.24,0.57,,1/8/2011,8,8,17,20,8,1,0,47.17,47.68,0.51,5,2011
0,52.54,53.34,0.8,,1/8/2011,8,8,18,20,9,1,0,49.8,50.31,0.51,5,2011
0,58.45,59.27,0.82,,1/8/2011,8,8,19,21,10,1,0,66.42,67.25,0.83,5,2011
0,62.98,63.95,0.97,,1/8/2011,8,8,19,22,11,1,0,73.16,74.22,1.06,5,2011
0,59.59,60.44,0.85,,1/8/2011,8,8,20,23,12,1,0,72.01,73.06,1.05,5,2011
0,58.77,59.57,0.8,,1/8/2011,8,8,20,24,13,1,0,66.07,66.93,0.86,5,2011
0,54.75,55.47,0.72,,1/8/2011,8,8,20,24,14,1,0,50.3,50.86,0.56,5,2011
0,52.48,53.2,0.72,,1/8/2011,8,8,22,25,15,1,0,48.23,48.75,0.52,5,2011
0,54.66,55.4,0.74,,1/8/2011,8,8,22,25,16,1,0,47.28,47.74,0.46,5,2011
0,62.05,62.95,0.9,,1/8/2011,8,8,22,25,17,1,0,58.95,59.64,0.69,5,2011
0,82.65,83.7,1.05,,1/8/2011,8,8,22,25,18,1,0,75.66,76.59,0.93,5,2011
0,78.35,79.32,0.97,,1/8/2011,8,8,22,26,19,1,0,62.13,62.87,0.74,5,2011
0,73.97,74.96,0.99,,1/8/2011,8,8,22,26,20,1,0,58.44,59.23,0.79,5,2011
0,62.23,63.06,0.83,,1/8/2011,8,8,22,26,21,1,0,48.52,49.11,0.59,5,2011
0,60.76,61.66,0.9,,1/8/2011,8,8,23,25,22,1,0,48.2,48.77,0.57,5,2011
0,55.77,56.52,0.75,,1/8/2011,8,8,23,24,23,1,0,43.97,44.5,0.53,5,2011
0,53.2,53.94,0.74,,1/8/2011,8,8,22,24,24,1,0,43.31,43.82,0.51,5,2011
0,48.77,49.32,0.55,,1/9/2011,9,9,22,24,1,1,0,43.4,43.9,0.5,6,2011
0,48.31,49.08,0.77,,1/9/2011,9,9,21,24,2,1,0,44.02,44.66,0.64,6,2011
0,45.95,46.75,0.8,,1/9/2011,9,9,21,24,3,1,0,42.03,42.67,0.64,6,2011
0,43.79,44.51,0.72,,1/9/2011,9,9,20,24,4,1,0,19.02,19.31,0.29,6,2011
0,43.79,44.51,0.72,,1/9/2011,9,9,20,24,5,1,0,41.92,42.57,0.65,6,2011
0,43.82,44.48,0.66,,1/9/2011,9,9,19,23,6,1,0,54.04,54.9,0.86,6,2011
0,45.1,45.71,0.61,,1/9/2011,9,9,18,23,7,1,0,47.89,48.56,0.67,6,2011
0,48.17,48.78,0.61,,1/9/2011,9,9,17,22,8,1,0,46.02,46.61,0.59,6,2011
0,49.87,50.56,0.69,,1/9/2011,9,9,17,22,9,1,0,47.69,48.11,0.42,6,2011
0,52.19,52.72,0.53,,1/9/2011,9,9,16,23,10,1,0,49.1,49.56,0.46,6,2011
0,51.37,51.95,0.58,,1/9/2011,9,9,16,24,11,1,0,49.49,50,0.51,6,2011
0,51.38,51.99,0.61,,1/9/2011,9,9,15,26,12,1,0,54.12,54.72,0.6,6,2011
0,51.3,51.9,0.6,,1/9/2011,9,9,15,27,13,1,0,51.43,52.02,0.59,6,2011
0,51.44,52.01,0.57,,1/9/2011,9,9,15,27,14,1,0,53.27,53.92,0.65,6,2011
0,51.36,51.9,0.54,,1/9/2011,9,9,14,26,15,1,0,51.47,52.1,0.63,6,2011
0,51.38,51.95,0.57,,1/9/2011,9,9,14,26,16,1,0,50.92,51.54,0.62,6,2011
0,55.69,56.45,0.76,,1/9/2011,9,9,14,25,17,1,0,66.56,67.36,0.8,6,2011
0,82.4,83.31,0.91,,1/9/2011,9,9,14,24,18,1,0,85.2,86.16,0.96,6,2011
0,82.23,83.05,0.82,,1/9/2011,9,9,14,22,19,1,0,74.2,75.16,0.96,6,2011
0,72.62,73.74,1.12,,1/9/2011,9,9,13,21,20,1,0,76.5,77.35,0.85,6,2011
0,61.45,62.37,0.92,,1/9/2011,9,9,12,20,21,1,0,66.06,66.94,0.88,6,2011
0,55.36,56.13,0.77,,1/9/2011,9,9,12,20,22,1,0,51.52,52.18,0.66,6,2011
0,50.57,51.2,0.63,,1/9/2011,9,9,12,20,23,1,0,46.76,47.37,0.61,6,2011
0,44.56,45.04,0.48,,1/9/2011,9,9,12,20,24,1,0,30.92,31.32,0.4,6,2011
0,45.2,45.74,0.54,,1/10/2011,10,10,12,20,1,1,0,42.17,42.79,0.62,0,2011
0,41.69,42.17,0.48,,1/10/2011,10,10,12,20,2,1,0,40.49,41.08,0.59,0,2011
0,39.88,40.21,0.33,,1/10/2011,10,10,12,21,3,1,0,40.7,41.25,0.55,0,2011
0,39.83,40.15,0.32,,1/10/2011,10,10,11,20,4,1,0,41.58,42.21,0.63,0,2011
0,41.49,41.95,0.46,,1/10/2011,10,10,11,20,5,1,0,41.73,42.32,0.59,0,2011
0,45.68,46.16,0.48,,1/10/2011,10,10,10,19,6,1,0,45.95,46.57,0.62,0,2011
0,56.99,57.58,0.59,,1/10/2011,10,10,10,18,7,1,0,60.85,61.7,0.85,0,2011
0.02,65.04,65.9,0.84,,1/10/2011,10,10,10,17,8,1,0,60.1,60.85,0.75,0,2011
0,62.7,63.41,0.71,,1/10/2011,10,10,9,18,9,1,0,65.36,66.27,0.91,0,2011
0,64.36,65.09,0.73,,1/10/2011,10,10,10,19,10,1,0,58.31,59.18,0.87,0,2011
0,63.98,64.68,0.7,,1/10/2011,10,10,10,21,11,1,0,69.58,70.71,1.13,0,2011
0,60.4,60.95,0.55,,1/10/2011,10,10,11,23,12,1,0,56.74,57.58,0.84,0,2011
0,58.39,58.95,0.56,,1/10/2011,10,10,12,25,13,1,0,54.12,54.91,0.79,0,2011
0,57.6,58.12,0.52,,1/10/2011,10,10,13,26,14,1,0,56.9,57.72,0.82,0,2011
0,56.58,57.08,0.5,,1/10/2011,10,10,13,28,15,1,0,51.75,52.44,0.69,0,2011
0,56.16,56.66,0.5,,1/10/2011,10,10,14,28,16,1,0,49.89,50.52,0.63,0,2011
0,57.89,58.45,0.56,,1/10/2011,10,10,14,27,17,1,0,55.28,56.07,0.79,0,2011
0,76.34,77.02,0.68,,1/10/2011,10,10,14,25,18,1,0,81.19,82.29,1.1,0,2011
-0.06,76.19,76.86,0.73,,1/10/2011,10,10,14,24,19,1,0,68.82,69.77,0.95,0,2011
0.18,67.87,68.88,0.83,,1/10/2011,10,10,14,24,20,1,0,56.43,57.31,0.88,0,2011
0.17,57.47,58.33,0.69,,1/10/2011,10,10,13,24,21,1,0,49.98,50.79,0.81,0,2011
0,57.73,58.39,0.66,,1/10/2011,10,10,13,24,22,1,0,47.91,48.62,0.71,0,2011
0,51.85,52.37,0.52,,1/10/2011,10,10,13,24,23,1,0,43.99,44.65,0.66,0,2011
0,42.48,42.98,0.5,,1/10/2011,10,10,12,23,24,1,0,39.56,40.12,0.56,0,2011
0,51.13,51.77,0.64,,1/11/2011,11,11,12,20,1,1,0,52.26,53.07,0.81,1,2011
0,49.48,50.34,0.86,,1/11/2011,11,11,12,20,2,1,0,46.6,47.48,0.88,1,2011
0,49.84,50.76,0.92,,1/11/2011,11,11,11,18,3,1,0,45.08,45.93,0.85,1,2011
0,44.73,45.57,0.84,,1/11/2011,11,11,11,18,4,1,0,35.9,36.57,0.67,1,2011
0,49.55,50.31,0.76,,1/11/2011,11,11,10,16,5,1,0,49.74,50.57,0.83,1,2011
0,55.89,56.47,0.58,,1/11/2011,11,11,10,15,6,1,0,51.38,52.04,0.66,1,2011
0,62.27,63.13,0.86,,1/11/2011,11,11,9,14,7,1,0,66.11,67.05,0.94,1,2011
0,68.72,69.5,0.78,,1/11/2011,11,11,9,14,8,1,0,69.2,70.09,0.89,1,2011
0,68,68.77,0.77,,1/11/2011,11,11,10,15,9,1,0,78.85,79.92,1.07,1,2011
0,67.88,68.63,0.75,,1/11/2011,11,11,10,18,10,1,0,71.45,72.53,1.08,1,2011
0,65.44,66.23,0.79,,1/11/2011,11,11,10,20,11,1,0,93.04,94.13,1.09,1,2011
0,63.67,64.35,0.68,,1/11/2011,11,11,11,21,12,1,0,77.74,78.63,0.89,1,2011
0,62.51,63.24,0.73,,1/11/2011,11,11,11,22,13,1,0,72.44,73.28,0.84,1,2011
0,60.12,60.84,0.72,,1/11/2011,11,11,13,24,14,1,0,63.43,64.24,0.81,1,2011
0,59.68,60.36,0.68,,1/11/2011,11,11,12,26,15,1,0,57.18,57.78,0.6,1,2011
